day,PC LG,PC SS
1,971.0238461538461,1082.8877777777777
2,970.3815384615384,1093.8925
3,961.3909090909088,1292.2833333333333
4,935.0489999999998,1291.171111111111
5,946.6689999999999,1285.1466666666665
6,955.7566666666667,1117.79
7,930.2099999999999,1106.2944444444445
8,973.1445454545453,1336.3942857142858
9,894.4077777777777,1184.5922222222223
10,823.8100000000001,1213.3766666666666
11,828.8735714285714,1161.9389999999999
12,948.1336363636364,1112.68
13,888.7025,1127.0236363636366
14,856.9207142857142,1096.16
15,944.2185714285714,1097.60125
16,941.4292857142857,1053.3111111111111
17,941.4292857142857,1002.1727272727275
18,917.8842857142856,1032.4910000000002
19,941.3035714285713,1032.4910000000002
20,812.3014285714286,1018.673
21,821.8042857142857,905.5333333333333
22,714.0135714285714,888.1961111111111
23,745.4428571428571,905.9077777777778
24,768.0007142857143,905.9077777777777
25,743.3792857142856,905.9077777777777
